0,1,2,3,4,5
0.15,0.115,0.16,0.12,0.07,0.205
0.2125,0.065,0.04,0.025,0.025,0.455
0.0375,0.275,0.18,0.165,0.175,0.045
0.0,0.05,0.065,0.055,0.065,0.29
0.0,0.01,0.0,0.01,0.005,0.015
0.4375,0.335,0.635,0.51,0.42,0.37
0.025,0.105,0.095,0.065,0.065,0.63
0.1375,0.05,0.075,0.045,0.05,0.745
0.0,0.13,0.12,0.12,0.055,0.205
0.0,0.0,0.0,0.0,0.0,0.03
0.475,0.49,0.64,0.515,0.5523255813953488,0.89
0.325,0.175,0.135,0.115,0.14,0.23
0.0,0.19,0.13,0.12,0.08,0.47
0.0,0.0,0.0,0.0,0.0,0.0
0.7375,0.495,0.215,0.215,0.2,0.025
0.6625,0.055,0.095,0.035,0.15,0.575
0.2875,0.125,0.005,0.0,0.005,0.0
0.8125,0.88,0.99,0.93,0.65,0.49
0.0,0.145,0.135,0.095,0.095,0.5
0.9875,0.325,0.235,0.12,0.23,0.06
0.975,0.14,0.09,0.08,0.09,0.73
0.9625,0.245,0.175,0.1,0.095,0.37
0.975,0.105,0.075,0.075,0.06,0.015
0.7875,0.075,0.01,0.02,0.035,0.395
0.5375,0.175,0.105,0.155,0.1,0.49
0.325,0.54,0.535,0.53,0.485,0.545
0.0125,0.0,0.025,0.03,0.005,0.015
0.525,0.5,0.415,0.56,0.8,0.53
0.9,0.125,0.08,0.04,0.03,0.045
0.325,0.095,0.12,0.135,0.02,0.055
0.9625,0.165,0.21,0.095,0.15,0.405
0.9875,0.145,0.135,0.04,0.11,0.635
0.6125,0.145,0.12,0.14,0.115,0.285
0.025,0.2,0.05,0.06,0.095,0.08
0.4625,0.0,0.715,0.845,0.865,0.95
0.8875,0.065,0.04,0.045,0.045,0.275
