0,1,2,3,4,5
0.4,0.39,0.305,0.3,0.325,0.23
0.075,0.325,0.175,0.115,0.11,0.0
0.725,0.445,0.295,0.275,0.36,0.49
1.0,0.49,0.395,0.265,0.12,0.105
1.0,0.93,0.955,0.87,0.685,0.71
0.1125,0.185,0.095,0.06,0.09,0.14
0.8125,0.45,0.39,0.27,0.225,0.0
0.2,0.135,0.235,0.235,0.185,0.005
0.9625,0.32,0.24,0.23,0.27,0.11
0.8125,0.96,0.91,0.98,0.895,0.67
0.1625,0.1,0.055,0.28,0.25,0.005
0.325,0.29,0.425,0.265,0.265,0.24
0.8125,0.225,0.27,0.3,0.245,0.14
1.0,1.0,1.0,0.995,0.99,0.97
0.05,0.2,0.335,0.195,0.255,0.51
0.0375,0.2,0.17,0.16,0.13,0.075
0.15,0.465,0.83,0.975,0.82,0.98
0.025,0.01,0.005,0.0,0.0,0.03
0.9,0.555,0.455,0.41,0.475,0.205
0.0,0.18,0.38,0.455,0.365,0.645
0.0,0.365,0.39,0.395,0.345,0.03
0.0,0.295,0.395,0.5,0.34,0.135
0.0,0.235,0.295,0.205,0.29,0.79
0.0,0.33,0.28,0.325,0.285,0.045
0.1375,0.4,0.44,0.355,0.365,0.06
0.0875,0.055,0.05,0.07,0.075,0.045
0.7625,0.945,0.745,0.5,0.725,0.77
0.1125,0.08,0.045,0.03,0.015,0.025
0.05,0.64,0.69,0.595,0.735,0.605
0.225,0.395,0.485,0.44,0.645,0.6
0.0,0.09,0.09,0.09,0.06,0.02
0.0,0.185,0.36,0.4,0.31,0.01
0.15,0.3,0.355,0.29,0.29,0.195
0.425,0.14,0.15,0.185,0.16,0.165
0.1125,0.995,0.065,0.035,0.005,0.0
0.0,0.365,0.27,0.245,0.19,0.06
