Trajectories
100
,,s02:LKNM,,,s02:RKNM,,,s02:LMED,,,s02:RMED,,,s02:LASI,,,s02:RASI,,,s02:LPSI,,,s02:RPSI,,,s02:LTHI,,,s02:LKNE,,,s02:LTIB,,,s02:LANK,,,s02:LHEE,,,s02:LTOE,,,s02:RTHI,,,s02:RKNE,,,s02:RTIB,,,s02:RANK,,,s02:RHEE,,,s02:RTOE,,,s02:RKNEM,,,s02:LKNEM,,,s02:LANKM,,,s02:RANKM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-471.222931,259.328979,482.134705,-467.039917,383.649384,474.152222,-436.367645,195.944717,100.402939,-412.208923,441.429138,102.820534,-556.038391,190.351303,1017.267334,-547.605286,433.119751,1013.767578,-376.594513,253.282227,1072.854980,-368.326904,349.227112,1075.459229,-487.557922,141.465790,703.974487,-479.465607,154.792679,515.872742,-441.108246,120.585831,325.051819,-414.387512,116.780838,102.072952,-355.626984,148.355103,51.441250,-598.176575,144.436340,47.533386,-457.533478,504.642365,779.674988,-464.932770,485.539917,509.459564,-411.647522,519.318604,358.867188,-393.352112,520.800415,99.456161,-334.472809,482.082672,52.912212,-579.047424,505.487488,48.270283,,,,,,,,,,,,
2,0,-471.236542,259.321625,482.128235,-467.033691,383.239990,473.844757,-436.362915,195.941513,100.395592,-412.228210,441.432526,102.821419,-556.290466,190.237457,1016.984558,-547.588440,433.124908,1013.756531,-376.615906,253.261536,1072.861328,-368.332642,349.203552,1075.461670,-487.578888,141.451706,703.972717,-480.476501,157.496658,514.383118,-441.113129,120.568771,325.046631,-414.390503,116.780388,102.074142,-355.625275,148.351318,51.448044,-598.166138,144.422333,47.529194,-457.507538,504.647491,779.682190,-464.927399,485.566223,509.464447,-411.662689,519.311523,358.867401,-393.356293,520.793945,99.463478,-334.463440,482.085480,52.923851,-579.042664,505.486237,48.268162,,,,,,,,,,,,
3,0,-471.237793,259.349884,482.106018,-467.056183,383.662323,474.176361,-436.378540,195.958069,100.383194,-412.215240,441.428680,102.833878,-556.311890,190.255722,1016.997437,-547.566956,433.123779,1013.744934,-376.604340,253.238800,1072.871948,-368.328613,349.186371,1075.474121,-487.600494,141.459213,703.978333,-479.502472,154.811218,515.865295,-441.125397,120.580040,325.050568,-414.402222,116.788628,102.072350,-355.635834,148.351959,51.452995,-598.173340,144.434219,47.522312,-457.487488,504.664124,779.689514,-464.934296,485.544312,509.438751,-411.659943,519.314270,358.863220,-393.355560,520.782471,99.443405,-334.469299,482.095123,52.919823,-579.038696,505.491302,48.257683,,,,,,,,,,,,
4,0,-471.257965,259.321106,482.115936,-467.038696,383.653290,474.177490,-436.370056,195.944992,100.398361,-412.217224,441.440918,102.814621,-556.319397,190.236435,1016.992065,-547.550476,433.116364,1013.763794,-376.624054,253.205658,1072.855225,-368.328369,349.162231,1075.461792,-487.611298,141.448898,703.966553,-480.517273,157.480728,514.394043,-441.135223,120.570930,325.040985,-414.401642,116.780693,102.071327,-355.627991,148.349487,51.454269,-598.172729,144.428452,47.522041,-457.465088,504.649292,779.694092,-464.870300,485.590546,509.480164,-411.639893,519.323059,358.870667,-393.335388,520.802917,99.454140,-334.480225,482.086945,52.916508,-579.031067,505.484772,48.262962,,,,,,,,,,,,
5,0,-471.276184,259.338226,482.134918,-467.068939,383.646759,474.160858,-436.369385,195.949860,100.384384,-412.215576,441.438232,102.835541,-556.332764,190.248886,1016.987183,-547.550171,433.120697,1013.755554,-376.636292,253.206009,1072.860229,-368.326355,349.145935,1075.470459,-487.658661,141.466400,703.965698,-480.501404,157.469345,514.420593,-441.163422,120.573792,325.049591,-414.408234,116.785843,102.082306,-355.632660,148.346085,51.462963,-598.164124,144.421524,47.530293,-457.446838,504.642731,779.713074,-464.888367,485.560364,509.457184,-411.617004,519.321533,358.867462,-393.334473,520.797241,99.461700,-334.468079,482.091736,52.925838,-579.048462,505.494049,48.278702,,,,,,,,,,,,
6,0,-471.297272,259.352142,482.125366,-467.050262,383.644684,474.132568,-436.383514,195.950516,100.400726,-412.243561,441.454102,102.819542,-556.109131,190.367416,1017.207520,-547.522339,433.117737,1013.759155,-376.634277,253.186020,1072.857056,-368.319855,349.132507,1075.461182,-487.662659,141.468002,703.955688,-480.540131,157.485504,514.390137,-441.173157,120.560638,325.048981,-414.410217,116.793404,102.061806,-355.619537,148.346008,51.451126,-598.165283,144.427994,47.520473,-457.458130,504.630737,779.707214,-464.879822,485.575348,509.487701,-411.613983,519.343811,358.875000,-393.341492,520.801331,99.459503,-334.478149,482.082397,52.903057,-579.051147,505.499054,48.285492,,,,,,,,,,,,
7,0,-471.309692,259.347107,482.109161,-467.040680,383.611664,474.153229,-436.369324,195.940796,100.382301,-412.225830,441.444275,102.839081,-556.110352,190.355118,1017.187622,-547.519775,433.120026,1013.751953,-376.637024,253.184830,1072.863281,-368.306000,349.132629,1075.471313,-487.683136,141.476944,703.953796,-480.534485,157.490005,514.418762,-441.192932,120.560188,325.056671,-414.395172,116.780289,102.071259,-355.624176,148.343994,51.468979,-598.168091,144.424545,47.522289,-457.432709,504.596405,779.701477,-464.881317,485.613068,509.468689,-411.591614,519.333740,358.860199,-393.341064,520.802429,99.446114,-334.455963,482.104553,52.913597,-579.029602,505.493927,48.270409,,,,,,,,,,,,
8,0,-471.310333,259.325745,482.118317,-467.014160,383.268494,473.871124,-436.368469,195.927078,100.370438,-412.216736,441.437134,102.835045,-556.148804,190.371246,1017.154785,-547.507019,433.117432,1013.760681,-376.646057,253.157730,1072.847778,-368.305878,349.115875,1075.466064,-487.719482,141.469482,703.948059,-480.545837,157.486710,514.389404,-441.196960,120.569153,325.041748,-414.401001,116.792587,102.045090,-355.629211,148.354645,51.445992,-598.176147,144.415268,47.518463,-457.421112,504.589905,779.700806,-464.869904,485.590698,509.474396,-411.592560,519.343384,358.864319,-393.327576,520.803101,99.468979,-334.471710,482.090088,52.914833,-579.043884,505.500671,48.267204,,,,,,,,,,,,
9,0,-471.289368,259.309540,482.120697,-467.045868,383.620728,474.129761,-436.363770,195.912933,100.375961,-412.215607,441.437714,102.845985,-556.178162,190.369934,1017.156250,-547.509277,433.114990,1013.765564,-376.665375,253.139847,1072.847412,-368.306122,349.089935,1075.467651,-487.727661,141.479477,703.939270,-480.534729,157.474411,514.393494,-441.191376,120.522957,325.055054,-414.416931,116.779617,102.051811,-355.617157,148.340805,51.459568,-598.169373,144.425415,47.525726,-457.405243,504.584839,779.708618,-464.847595,485.538818,509.477905,-411.610809,519.325439,358.865692,-393.337494,520.793518,99.459892,-334.450317,482.089844,52.918949,-579.043762,505.497589,48.281101,,,,,,,,,,,,
