Trajectories
100
,,s29:LKNM,,,s29:RKNM,,,s29:LMED,,,s29:RMED,,,s29:LASI,,,s29:RASI,,,s29:LPSI,,,s29:RPSI,,,s29:LTHI,,,s29:LKNE,,,s29:LTIB,,,s29:LANK,,,s29:LHEE,,,s29:LTOE,,,s29:RTHI,,,s29:RKNE,,,s29:RTIB,,,s29:RANK,,,s29:RHEE,,,s29:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-643.064819,227.225952,504.077423,-655.815308,348.369873,507.996674,-631.792786,160.918518,129.296326,-628.841858,407.025970,132.949020,-769.073853,166.607101,1030.136841,-750.929871,402.832306,1036.955811,-576.261169,225.725769,1059.399780,-569.330139,312.098053,1060.889771,-689.347717,89.436607,772.069275,-640.687561,116.235710,528.774597,-612.599792,86.891014,377.910309,-617.930359,88.904175,132.018784,-547.939514,123.026360,80.928589,-791.638794,94.780952,89.218445,-654.443237,469.943573,755.151123,-611.504333,444.403168,536.821472,-586.912354,473.960083,382.509552,-603.632080,476.186279,133.080154,-542.096863,434.894043,78.716614,-785.964783,472.516235,90.675919
2,0,-643.093750,227.228653,504.076721,-655.823181,348.372284,508.003235,-631.803894,160.915085,129.298203,-628.843750,407.004700,132.983032,-769.056946,166.622131,1030.156006,-750.904724,402.839783,1036.965088,-576.246826,225.729538,1059.373657,-569.332581,312.120972,1060.874878,-689.366760,89.427750,772.085815,-640.725891,116.247612,528.774170,-612.630737,86.894104,377.907745,-617.926514,88.899345,132.032562,-547.940552,123.026833,80.934349,-791.642456,94.786079,89.215210,-654.463440,469.930420,755.164673,-611.527832,444.400146,536.817871,-586.923401,473.957886,382.498932,-603.619568,476.184814,133.100357,-542.048828,434.941223,78.713882,-785.970642,472.515381,90.684578
3,0,-643.110474,227.228226,504.076294,-655.864380,348.379211,508.011749,-631.806824,160.899384,129.296356,-628.835632,406.999847,132.968033,-769.043945,166.636642,1030.157959,-750.914246,402.839569,1036.975342,-576.235413,225.721039,1059.371094,-569.325012,312.133636,1060.855347,-689.400818,89.424156,772.074158,-640.743042,116.249245,528.777710,-612.662659,86.902397,377.906097,-617.928894,88.901352,132.031021,-547.931580,123.021828,80.929199,-791.656006,94.793114,89.215096,-654.488892,469.921936,755.155579,-611.563171,444.391693,536.811768,-586.957825,473.950195,382.506958,-603.634644,476.165009,133.098846,-542.029907,434.956696,78.713982,-785.969299,472.513000,90.677292
4,0,-643.144653,227.209915,504.098358,-655.859436,348.376801,508.006439,-631.811890,160.921127,129.305527,-628.869690,407.016846,132.950897,-769.017090,166.644501,1030.181396,-750.916748,402.844055,1036.985962,-576.207764,225.739380,1059.344238,-569.304199,312.145599,1060.848999,-689.405457,89.428398,772.099915,-640.794556,116.255577,528.763428,-612.669800,86.889137,377.915497,-617.932495,88.900291,132.035812,-547.941345,123.019539,80.941681,-791.657043,94.788757,89.217911,-654.481812,469.929871,755.147400,-611.587524,444.404694,536.814026,-586.970459,473.963898,382.510010,-603.623291,476.177094,133.081955,-541.982788,434.994324,78.741455,-785.974060,472.505920,90.681816
5,0,-643.168884,227.207779,504.098358,-655.907166,348.407196,508.013062,-631.789124,160.886215,129.291046,-628.836426,406.989075,132.934250,-769.012634,166.645050,1030.196045,-750.921265,402.870117,1036.995361,-576.198547,225.761307,1059.312134,-569.305664,312.147308,1060.789673,-689.435425,89.446533,772.082825,-640.800049,116.251648,528.769165,-612.688904,86.925522,377.914276,-617.923096,88.915977,132.029556,-547.929138,123.015778,80.941818,-791.651672,94.797562,89.222198,-654.535095,469.952423,755.124084,-611.597717,444.421387,536.809570,-586.992188,473.968964,382.508148,-603.619690,476.162170,133.086792,-542.107056,434.870728,78.709831,-785.968872,472.509552,90.661705
6,0,-643.187683,227.215836,504.083618,-655.902222,348.412537,508.020111,-631.782959,160.893860,129.287811,-628.863159,406.997040,132.954453,-768.990784,166.643951,1030.227173,-750.916138,402.862732,1037.008423,-576.169006,225.775772,1059.309814,-569.298401,312.166687,1060.796387,-689.437866,89.433510,772.084534,-640.820435,116.257874,528.779358,-612.694641,86.925964,377.913483,-617.921692,88.920120,132.044113,-547.949219,123.037148,80.938484,-791.646362,94.809975,89.221786,-654.560791,469.947449,755.132690,-611.621826,444.431152,536.808350,-587.004028,473.987946,382.508301,-603.607117,476.174072,133.098877,-542.100708,434.882111,78.715294,-785.966980,472.505920,90.660316
7,0,-643.184387,227.202805,504.093872,-655.925781,348.446777,508.018127,-631.769043,160.889999,129.286957,-628.855896,406.988983,132.956726,-768.960754,166.644684,1030.224243,-750.937805,402.838623,1037.027832,-576.141785,225.788666,1059.299072,-569.342102,312.157654,1060.788452,-689.439026,89.439590,772.088989,-640.823059,116.259781,528.781799,-612.694763,86.939194,377.896301,-617.930054,88.932106,132.034561,-547.931885,123.041588,80.941460,-791.652832,94.812538,89.219795,-654.594727,469.949554,755.170898,-611.647217,444.438568,536.811768,-587.018005,473.994965,382.504150,-603.599365,476.181030,133.095627,-542.053040,434.923462,78.728210,-785.980774,472.509857,90.663071
8,0,-643.211792,227.186783,504.084534,-655.913452,348.405762,508.039886,-631.783813,160.922668,129.273224,-628.851929,406.998657,132.951965,-768.943237,166.630188,1030.215820,-750.969971,402.840576,1037.036377,-576.116577,225.802704,1059.287964,-569.332275,312.185120,1060.780884,-689.429504,89.418938,772.084229,-640.850586,116.267052,528.786316,-612.708923,86.923264,377.910278,-617.945435,88.936272,132.026871,-547.935974,123.037086,80.937180,-791.643188,94.807724,89.217117,-654.608093,469.944031,755.199341,-611.658691,444.455719,536.820679,-587.028076,474.017456,382.512726,-603.643860,476.185303,133.113174,-542.110840,434.884369,78.724373,-785.987732,472.503998,90.652290
9,0,-643.210083,227.186157,504.076843,-655.931396,348.436707,508.032074,-631.776245,160.867279,129.258789,-628.853882,407.002197,132.948303,-768.924500,166.614197,1030.218628,-750.982727,402.832062,1037.038452,-576.092346,225.829346,1059.271851,-569.367432,312.190063,1060.765259,-689.427734,89.428116,772.060547,-640.843872,116.260849,528.774475,-612.714417,86.936562,377.886536,-617.933655,88.937195,132.018051,-547.932068,123.037376,80.925446,-791.658447,94.814262,89.219994,-654.642517,469.958466,755.174194,-611.672913,444.468231,536.826355,-587.027710,474.029541,382.521332,-603.604553,476.203430,133.111008,-542.088135,434.887756,78.721848,-785.994141,472.503174,90.637497
