Trajectories
100
,,S36:LKNM,,,S36:RKNM,,,S36:LMED,,,S36:RMED,,,S36:LASI,,,S36:RASI,,,S36:LPSI,,,S36:RPSI,,,S36:LTHI,,,S36:LKNE,,,S36:LTIB,,,S36:LANK,,,S36:LHEE,,,S36:LTOE,,,S36:RTHI,,,S36:RKNE,,,S36:RTIB,,,S36:RANK,,,S36:RHEE,,,S36:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-610.969238,242.404907,528.410217,-632.099182,342.080109,533.076660,-597.884827,198.381317,137.800629,-603.420654,401.764252,134.371170,-739.191162,163.498062,1062.856323,-740.009827,422.396027,1060.849121,-540.881348,242.149490,1067.897705,-541.672729,340.504852,1067.930176,-655.991211,109.982368,696.242004,-604.289551,115.769241,549.580505,-576.935730,89.792694,372.351990,-580.985352,107.390114,118.337997,-506.596863,158.130203,72.938042,-768.110779,127.959923,84.879066,-640.015198,464.094238,661.714355,-612.154175,466.061646,550.144897,-595.144226,502.363434,360.243835,-593.933472,492.323120,127.226501,-515.711487,453.784729,74.708748,-778.606995,465.112549,83.655106
2,0,-610.999207,242.392990,528.405212,-632.156494,342.074677,533.089233,-597.886230,198.370117,137.785324,-603.435303,401.762238,134.353912,-739.213745,163.483780,1062.870850,-740.067505,422.386566,1060.867554,-540.904358,242.164230,1067.885864,-541.708191,340.502228,1067.916016,-656.041260,109.980423,696.236023,-604.331299,115.762932,549.578430,-576.958679,89.783951,372.347748,-580.986816,107.384598,118.344490,-506.612885,158.140060,72.930794,-768.094482,127.966988,84.861511,-640.061707,464.106110,661.708557,-612.183105,466.086151,550.129089,-595.169067,502.372803,360.232910,-593.936462,492.330963,127.224785,-515.718384,453.785248,74.706924,-778.592224,465.103668,83.643417
3,0,-611.050598,242.382050,528.417786,-632.179504,342.051453,533.097229,-597.883179,198.380508,137.790756,-603.450073,401.781891,134.348862,-739.212280,163.453079,1062.871460,-740.090515,422.368347,1060.878662,-540.923035,242.150665,1067.869629,-541.726562,340.506805,1067.896606,-656.070007,109.971008,696.256409,-604.392639,115.753365,549.559021,-576.999268,89.763924,372.365479,-580.979126,107.392189,118.347702,-506.607361,158.131332,72.941376,-768.104919,127.957535,84.867027,-640.113953,464.093323,661.713928,-612.228271,466.059448,550.133789,-595.204651,502.371307,360.233917,-593.938843,492.317810,127.233772,-515.723145,453.772614,74.713608,-778.611694,465.105072,83.645966
4,0,-611.086853,242.358032,528.417969,-632.223083,342.050781,533.090881,-597.886292,198.385925,137.815491,-603.442749,401.757599,134.357712,-739.210754,163.454330,1062.886475,-740.141968,422.334961,1060.920654,-540.923035,242.146820,1067.842285,-541.756287,340.501282,1067.868408,-656.101624,109.958740,696.266907,-604.448792,115.758789,549.547302,-577.027588,89.751747,372.360535,-580.979126,107.396759,118.329208,-506.597626,158.117767,72.946930,-768.103027,127.953766,84.883194,-640.177856,464.094604,661.723206,-612.274475,466.080292,550.138733,-595.250000,502.368164,360.260345,-593.947754,492.315765,127.238556,-515.710083,453.771271,74.715843,-778.598755,465.111542,83.658928
5,0,-611.139221,242.376282,528.419434,-632.281250,342.030243,533.107422,-597.893127,198.350662,137.797745,-603.441528,401.745819,134.366470,-739.180420,163.440994,1062.894165,-740.130798,422.315643,1060.911255,-540.929077,242.164230,1067.808350,-541.760010,340.499817,1067.836792,-656.139709,109.954201,696.273438,-604.511841,115.739265,549.544739,-577.069458,89.727852,372.351044,-580.965515,107.375008,118.337082,-506.595551,158.118378,72.943878,-768.105103,127.956940,84.864113,-640.215820,464.094299,661.719666,-612.345886,466.049500,550.139221,-595.284302,502.374634,360.250488,-593.960388,492.322144,127.244133,-515.721130,453.769806,74.708000,-778.609619,465.099091,83.656136
6,0,-611.184692,242.375366,528.410645,-632.335083,342.035248,533.111572,-597.894409,198.351578,137.802216,-603.462891,401.754303,134.358475,-739.177917,163.425674,1062.920166,-740.132385,422.307281,1060.905273,-540.909668,242.156052,1067.783936,-541.757385,340.507172,1067.799561,-656.169983,109.954285,696.283386,-604.579041,115.735916,549.521423,-577.096680,89.723999,372.336487,-580.999573,107.380280,118.332809,-506.600494,158.117310,72.939583,-768.100525,127.960876,84.839508,-640.267517,464.102692,661.706787,-612.395935,466.026459,550.124512,-595.327026,502.366852,360.224365,-593.963440,492.323578,127.237289,-515.729370,453.767395,74.710022,-778.621277,465.100677,83.620316
7,0,-611.231628,242.364609,528.409912,-632.379089,342.024323,533.108154,-597.886597,198.351959,137.785492,-603.428345,401.736145,134.375687,-739.138794,163.388763,1062.957642,-740.128479,422.263062,1060.951904,-540.876587,242.165497,1067.747070,-541.739868,340.510895,1067.767090,-656.207520,109.970230,696.281372,-604.615417,115.718979,549.526245,-577.125854,89.716965,372.336426,-580.993530,107.380478,118.332703,-506.602997,158.112228,72.950600,-768.112915,127.951653,84.850342,-640.338135,464.074493,661.709229,-612.448425,466.017822,550.122314,-595.375671,502.357849,360.228058,-593.966797,492.308716,127.244667,-515.723877,453.752350,74.724594,-778.613037,465.102600,83.623055
8,0,-611.286926,242.346848,528.402588,-632.427673,342.010406,533.115417,-597.902344,198.314621,137.798477,-603.425354,401.730774,134.359344,-739.069824,163.387222,1062.969482,-740.129639,422.226410,1060.964722,-540.814636,242.178207,1067.696777,-541.718750,340.509338,1067.704834,-656.241577,109.965141,696.267700,-604.675842,115.711395,549.501038,-577.161865,89.707680,372.312622,-581.008728,107.378441,118.339874,-506.605438,158.121231,72.947922,-768.104248,127.957687,84.856544,-640.399475,464.082581,661.713928,-612.510193,466.002075,550.125977,-595.411926,502.349365,360.236145,-593.969055,492.313629,127.245232,-515.729919,453.766357,74.713165,-778.598999,465.098846,83.624985
9,0,-611.306702,242.345154,528.404846,-632.476196,341.992554,533.110779,-597.913452,198.292633,137.792877,-603.454346,401.726257,134.352509,-739.007080,163.367966,1062.965210,-740.146729,422.230408,1060.968994,-540.773499,242.179016,1067.658081,-541.685791,340.511444,1067.667603,-656.238403,109.953461,696.300598,-604.719910,115.704727,549.502869,-577.194763,89.704521,372.317352,-581.007996,107.383965,118.331207,-506.610748,158.112976,72.950943,-768.121887,127.963989,84.858437,-640.462341,464.071350,661.724487,-612.560791,465.997620,550.126404,-595.445923,502.348785,360.233368,-593.991211,492.288513,127.235916,-515.727295,453.775818,74.717674,-778.625305,465.105713,83.629234
