Subject,Vibration Side,Vibration Pair (ms),Accuracy
1,1,60,0.0
1,0,60,1.0
1,0,60,1.0
1,1,60,1.0
1,0,60,1.0
1,1,60,1.0
1,0,60,0.0
1,1,60,0.0
1,0,60,1.0
1,1,60,0.0
1,1,220,1.0
1,1,220,1.0
1,0,220,1.0
1,0,220,1.0
1,1,220,1.0
1,0,220,1.0
1,0,220,1.0
1,1,220,0.0
1,0,220,1.0
1,0,220,0.0
1,1,270,1.0
1,0,270,1.0
1,0,270,1.0
1,0,270,1.0
1,1,270,1.0
1,0,270,1.0
1,1,270,1.0
1,0,270,1.0
1,1,270,1.0
1,1,270,1.0
1,0,330,1.0
1,1,330,1.0
1,1,330,1.0
1,0,330,1.0
1,1,330,1.0
1,0,330,1.0
1,1,330,1.0
1,0,330,1.0
1,1,330,1.0
1,0,330,1.0
1,0,380,1.0
1,0,380,1.0
1,1,380,1.0
1,1,380,1.0
1,0,380,1.0
1,1,380,1.0
1,1,380,1.0
1,0,380,0.0
1,1,380,1.0
1,1,380,1.0
1,0,600,1.0
1,1,600,1.0
1,1,600,1.0
1,1,600,0.0
1,0,600,1.0
1,1,600,1.0
1,0,600,1.0
1,1,600,1.0
1,0,600,1.0
1,0,600,1.0
2,1,60,0.0
2,0,60,1.0
2,0,60,0.0
2,1,60,1.0
2,0,60,1.0
2,1,60,1.0
2,0,60,0.0
2,1,60,1.0
2,0,60,1.0
2,1,60,0.0
2,1,220,1.0
2,1,220,1.0
2,0,220,1.0
2,0,220,1.0
2,1,220,1.0
2,0,220,1.0
2,0,220,1.0
2,1,220,0.0
2,0,220,1.0
2,0,220,0.0
2,1,270,1.0
2,0,270,1.0
2,0,270,1.0
2,0,270,0.0
2,1,270,1.0
2,0,270,1.0
2,1,270,1.0
2,0,270,1.0
2,1,270,0.0
2,1,270,1.0
2,0,330,1.0
2,1,330,1.0
2,1,330,1.0
2,0,330,1.0
2,1,330,1.0
2,0,330,1.0
2,1,330,1.0
2,0,330,1.0
2,1,330,1.0
2,0,330,1.0
2,0,380,1.0
2,0,380,1.0
2,1,380,1.0
2,1,380,1.0
2,0,380,1.0
2,1,380,1.0
2,1,380,1.0
2,0,380,1.0
2,1,380,1.0
2,1,380,1.0
2,0,600,1.0
2,1,600,1.0
2,1,600,1.0
2,1,600,1.0
2,0,600,1.0
2,1,600,1.0
