,0,1,2,3
0,1714391402987133200,1.0,,
1,1714391403748017900,2.0,,
2,1714391403749522100,2.0,left,b'\xae\x00'
3,1714391404217461200,1.0,,
4,1714391404977821000,2.0,,
5,1714391404978817800,2.0,left,b'\xc6\x00'
6,1714391405447456800,1.0,,
7,1714391406208376200,2.0,,
8,1714391406209372700,2.0,right,b'K\x00'
9,1714391406657193400,1.0,,
10,1714391407397639400,2.0,,
11,1714391407857200900,1.0,,
12,1714391408591622900,2.0,,
13,1714391408593616000,2.0,left,b'\x1e\x01'
14,1714391409047600000,1.0,,
15,1714391409787572300,2.0,,
16,1714391409789575900,2.0,left,b'\x10\x01'
17,1714391410247658900,1.0,,
18,1714391410988507000,2.0,,
19,1714391410991496900,2.0,left,b'\x8f\x01'
20,1714391411437623000,1.0,,
21,1714391412187842100,2.0,,
22,1714391412188838800,2.0,left,b'\xf5\x01'
23,1714391412647333200,1.0,,
24,1714391413377415500,2.0,,
25,1714391413379408800,2.0,left,b'\xd3\x01'
26,1714391413828416100,1.0,,
27,1714391414577293800,2.0,,
28,1714391414579287400,2.0,left,b'\x9e\x00'
29,1714391415027274300,1.0,,
30,1714391415727712300,2.0,,
31,1714391415729705600,2.0,right,b'\xfb\x00'
32,1714391416177215200,1.0,,
33,1714391416867752800,2.0,,
34,1714391416869746100,2.0,right,"b',\x01'"
35,1714391417347656600,1.0,,
36,1714391418037698600,2.0,,
37,1714391418039691800,2.0,right,b'X\x02'
38,1714391418517223400,1.0,,
39,1714391419217454900,2.0,,
40,1714391419219448300,2.0,right,b'X\x02'
41,1714391419666957300,1.0,,
42,1714391420347608400,2.0,,
43,1714391420349601600,2.0,right,b'X\x02'
44,1714391420817475000,1.0,,
45,1714391421477280000,2.0,,
46,1714391421479781100,2.0,right,b'A\x00'
47,1714391421937751300,1.0,,
48,1714391422608883900,2.0,,
49,1714391422609880600,2.0,left,b'\x02\x01'
50,1714391423077747100,1.0,,
51,1714391423787224200,2.0,,
52,1714391423789723300,2.0,left,b'*\x01'
53,1714391424247657700,1.0,,
54,1714391424937598900,2.0,,
55,1714391424939592100,2.0,left,b'X\x02'
56,1714391425387569200,1.0,,
57,1714391426087647300,2.0,,
58,1714391426089640700,2.0,left,b'X\x02'
59,1714391426547512900,1.0,,
60,1714391427258014600,2.0,,
61,1714391427260008000,2.0,left,b'X\x02'
62,1714391427717801600,1.0,,
63,1714391428407924700,2.0,,
64,1714391428408921400,2.0,left,b'X\x02'
65,1714391428847492300,1.0,,
66,1714391429527531700,2.0,,
67,1714391429529525100,2.0,left,b'X\x02'
68,1714391429967595200,1.0,,
69,1714391430648090600,2.0,,
70,1714391430650073800,2.0,left,b'\x87\x00'
71,1714391431107827500,1.0,,
72,1714391431797525900,2.0,,
73,1714391432237522700,1.0,,
74,1714391432927730400,2.0,,
75,1714391432929723800,2.0,left,b'\xbb\x00'
76,1714391433367767300,1.0,,
77,1714391433677736100,2.0,,
78,1714391433679729400,2.0,left,b'X\x02'
79,1714391434457727800,1.0,,
80,1714391435107491900,2.0,,
81,1714391435112475200,2.0,left,b'X\x02'
82,1714391435679290600,1.0,,
83,1714391435758027100,2.0,,
84,1714391435760020500,2.0,left,b'X\x02'
85,1714391435937187100,1.0,,
86,1714391435997982800,1.0,,
87,1714391436127548700,2.0,,
88,1714391436129542200,2.0,left,b'X\x02'
89,1714391436767924400,1.0,,
90,1714391436857624100,2.0,,
91,1714391436859617500,2.0,right,b'X\x02'
92,1714391437057530200,1.0,,
93,1714391437718703500,2.0,,
94,1714391437719699900,2.0,right,b'X\x02'
95,1714391438017834600,1.0,,
96,1714391438227266100,2.0,,
97,1714391438231269900,2.0,right,b'X\x02'
98,1714391438627735400,1.0,,
99,1714391438707685400,1.0,,
100,1714391438777022300,1.0,,
101,1714391438837818800,1.0,,
102,1714391439047696700,2.0,,
103,1714391439050686400,2.0,right,b'X\x02'
104,1714391439117288100,1.0,,
105,1714391439147689300,2.0,,
106,1714391439149682700,2.0,right,b'X\x02'
107,1714391439587547000,1.0,,
108,1714391439828124700,1.0,,
109,1714391440278647900,2.0,,
110,1714391440280641300,2.0,right,b'X\x02'
